83, male, Arunachal_Pradesh, 9081303770, 156.11846391662164, 63.835106884326656
61, female, Andhra_Pradesh, 8572686842, 172.27899036586692, 71.45038794161385
20, male, Karnataka, 8457767869, 161.09948358855056, 65.69012017691293
95, male, Manipur, 7856054804, 146.28453558369736, 73.21217856856408
16, female, Jharkhand, 8963236949, 163.03015351811246, 71.34161069838513
45, male, Odisha, 6657044859, 167.76088186098028, 76.38578316273205
30, female, Uttarakhand, 6561985675, 174.5437181655833, 78.97148265054882
66, male, Arunachal_Pradesh, 8626603219, 162.75075130028782, 67.16135547754462
88, male, Tamil_Nadu, 6970148055, 157.92493579637392, 66.84783650817083
64, male, Assam, 9376311952, 157.94835462098234, 69.02758821065285
54, female, Kerala, 6974549235, 171.69811265564175, 72.40490390026918
98, male, Kerala, 8885037856, 143.23541679169995, 68.40136377001683
29, male, Meghalaya, 8795312008, 156.6503847291559, 66.7266277997915
93, female, Mizoram, 6645425345, 161.31152784802293, 76.94628918501981
49, male, Karnataka, 8540711332, 151.32231836022544, 65.4958219327088
49, male, Uttarakhand, 7740568238, 150.88760478517204, 68.85193777607333
30, male, Meghalaya, 7419285391, 164.99650157476776, 67.0213901591094
88, male, Odisha, 9482899499, 168.7052226269538, 59.04132126698986
53, male, Manipur, 8596285884, 153.37494042160088, 67.78659605118064
56, female, Karnataka, 8544316296, 155.376588254317, 69.42491513962966
70, male, Goa, 8267701607, 153.47042409165175, 57.25746657501013
66, male, Arunachal_Pradesh, 8326407236, 150.46724422870435, 76.43021921534128
90, female, Tripura, 9947139737, 166.87958610483952, 74.39028035628434
71, female, Jharkhand, 6129032805, 159.59860938492926, 64.45939522763042
26, male, Arunachal_Pradesh, 6243610629, 172.223252222534, 63.343175156222394
4, male, Telangana, 6887602318, 174.6877628797455, 62.54601085993303
12, female, Nagaland, 6566013705, 166.5030641224047, 61.77857499985819
81, male, Andhra_Pradesh, 9540657320, 156.8383056350032, 72.18484511003251
8, female, Punjab, 9369216466, 151.30458816347658, 75.34062447558469
21, female, Odisha, 7616550617, 150.33878562231305, 68.97513067704298
60, male, Telangana, 7558656233, 177.27107302536567, 71.51404005308535
10, male, Jharkhand, 8272709236, 163.30804553822128, 74.6050576932226
90, female, Chhattisgarh, 9308196447, 148.4309904070675, 66.52276477774014
73, male, Nagaland, 8576197083, 152.55294937628702, 62.43185469697814
94, female, Kerala, 9540167779, 169.27594489767066, 72.55343477080858
52, female, Kerala, 7281424990, 157.26973092912297, 59.70467205358324
100, female, Chhattisgarh, 6725242949, 165.78895550822813, 72.28760252250721
40, female, Arunachal_Pradesh, 7022047795, 157.92930256033475, 76.87533763069806
